TIMECODE,FADE IN,FADE OUT,FUNCTION,NAME,DURATION
00:01.0,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.4
00:01.0,NONE,NONE,Scene,BLUE STAGE WASH,00:02.4
00:03.4,NONE,NONE,Scene,BLUE STAGE WASH,00:03.9
00:07.3,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.3
00:07.3,NONE,NONE,Scene,BLUE STAGE WASH,00:02.3
00:09.6,NONE,NONE,Scene,BLUE STAGE WASH,00:03.9
00:13.6,NONE,NONE,Chaser,TAB STAGGER CHASE,00:15.6
00:13.6,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:15.6
00:29.1,NONE,NONE,Chaser,TAB STAGGER CHASE,00:15.6
00:29.1,NONE,NONE,Chaser,LED RED/BLUE PULSE,00:15.6
00:29.1,NONE,NONE,Chaser,STAGE WASH PULSE,00:15.6
00:44.7,NONE,NONE,Chaser,TAB CHASE LOOP,00:05.4
00:44.7,NONE,NONE,Scene,LED STATIC RED/BLUE,00:05.4
00:44.7,NONE,NONE,Chaser,STAGE WASH PULSE,00:05.4
00:50.1,NONE,NONE,Scene,BLUE STAGE WASH,00:00.8
00:50.9,NONE,NONE,Chaser,BACK-FRONT CANON,00:02.3
00:50.9,NONE,NONE,Scene,LED STATIC RED/BLUE,00:02.3
00:53.2,NONE,NONE,Scene,LED STATIC RED/BLUE,00:03.9
00:53.2,NONE,NONE,Scene,SPOTLIGHT,00:03.9
00:57.1,NONE,NONE,Chaser,TAB CHASE LOOP,00:02.3
